"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","201","2114","MATH FOUNDATNS OF INFORMATICS","Kavousian,Shabnam","48","49",""," 3.223"," 3.339","77.1","45.8","35.4","16.7","0.0","2","8","6","8","7","7","3","4","3","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","201","5979","MATH FOUNDATNS OF INFORMATICS","Fortunato,Santo","38","43",""," 2.897"," 3.028","66.7","42.1","31.6","10.5","7.9","8","4","8","4","2","9","1","1","1","2","1","2","0","3","4","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","201","6536","MATH FOUNDATNS OF INFORMATICS","Haghverdi,Esfandiar","25","27",""," 2.824"," 3.111","72","48.0","12.0","24.0","16.0","2","3","5","4","0","1","2","2","1","3","1","1","2","0","0","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","201","6928","MATH FOUNDATNS OF INFORMATICS","Kaiser,Daniel","44","51",""," 2.861"," 3.076","70.2","40.9","31.8","13.6","4.5","11","3","5","10","6","4","4","1","4","1","1","1","0","4","3","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","202","10711","SOCIAL INFORMATICS","Peirce Caudell,Alexis Barbara","21","25",""," 3.538"," 3.287","66.7","76.2","9.5","4.8","9.5","4","6","10","0","1","1","0","0","1","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","202","11886","SOCIAL INFORMATICS","Peirce Caudell,Alexis Barbara","45","51",""," 3.447"," 3.110","80.4","57.8","31.1","4.4","6.7","6","8","18","0","4","10","0","2","0","0","1","2","0","0","1","5","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","202","6929","SOCIAL INFORMATICS","Terrell,Jennifer Anne","47","48",""," 3.209"," 3.115","75","48.9","31.9","12.8","0.0","4","5","18","0","4","10","1","3","3","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","202","8088","SOCIAL INFORMATICS","Terrell,Jennifer Anne","42","43",""," 2.948"," 3.040","86","38.1","31.0","21.4","2.4","4","5","11","0","4","9","0","2","7","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","210","2116","INFORMATION INFRASTRUCTURE I","Muehlhaus,Kate","47","49",""," 3.570"," 3.252","79.2","74.5","14.9","8.5","0.0","3","17","12","6","3","2","2","2","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","210","5983","INFORMATION INFRASTRUCTURE I","Duncan,J","35","35",""," 3.371"," 3.205","85.7","65.7","22.9","2.9","0.0","3","11","10","2","3","3","2","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","210","7286","INFORMATION INFRASTRUCTURE I","Duncan,J","46","50",""," 3.596"," 3.440","75","78.3","8.7","10.9","0.0","5","19","11","6","2","2","0","2","3","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","210","8090","INFORMATION INFRASTRUCTURE I","Wood,Brian William","20","24",""," 3.330"," 3.325","54.5","50.0","30.0","20.0","0.0","4","4","6","0","2","3","1","2","1","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","211","2118","INFORMATION INFRASTRUCTURE II","Hayes,Alexander Lee","34","46",""," 2.788"," 3.071","81.8","44.1","20.6","20.6","2.9","16","4","6","5","2","4","1","1","4","2","1","0","0","4","3","2","7","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","211","3867","INFORMATION INFRASTRUCTURE II","Lee,Erika Biga","45","51",""," 3.120"," 3.305","83.3","48.9","26.7","17.8","2.2","8","9","8","5","6","3","3","2","3","3","1","0","0","2","1","3","2","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","211","6842","INFORMATION INFRASTRUCTURE II","Gordon,Michal","26","34",""," 2.558"," 3.078","90.3","50.0","7.7","15.4","7.7","13","2","8","3","0","1","1","1","1","2","1","0","1","5","3","3","2","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","211","7211","INFORMATION INFRASTRUCTURE II","Gordon,Michal","42","51",""," 2.912"," 3.240","75","38.1","35.7","11.9","7.1","12","10","5","1","6","6","3","1","3","1","1","0","2","3","2","3","4","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","216","10713","HUMAN, ANIMAL, AND AI","Wood,Justin Newell","48","52",""," 2.890"," 3.268","8.3","31.3","43.8","16.7","0.0","8","0","5","10","10","7","4","4","3","1","0","0","0","4","0","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","222","10714","THE INFORMATION SOCIETY","Ensmenger,Nathan","95","104",""," 2.895"," 3.222","78","29.5","45.3","14.7","6.3","13","6","8","14","18","12","13","9","1","4","4","2","0","4","5","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","230","7094","ANALYTICAL FOUNDTN OF SECURITY","Seiffert,Kurt A","56","61",""," 3.229"," 3.182","56.7","55.4","26.8","8.9","5.4","7","9","14","8","6","6","3","2","2","1","1","1","1","2","4","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","245","13207","INTERACTION DESIGN THINKING","Blevis,Shunying An","23","25",""," 3.370"," 3.290","87.5","60.9","30.4","4.3","0.0","3","0","7","7","3","3","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","300","11889","HCI/INTERACTION DESIGN","Blevis,Shunying An","46","49",""," 3.120"," 3.073","85.4","41.3","43.5","8.7","2.2","5","1","10","8","8","8","4","0","3","1","0","1","0","2","2","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","300","7048","HCI/INTERACTION DESIGN","Habeeb,Dana","47","48",""," 3.374"," 3.428","87.2","63.8","21.3","10.6","2.1","2","9","13","8","4","3","3","1","2","2","0","1","0","1","0","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","300","7289","HCI/INTERACTION DESIGN","Jordan,Phil","47","50",""," 3.645"," 3.479","85.4","70.2","23.4","6.4","0.0","3","12","14","7","7","4","0","2","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","300","7290","HCI/INTERACTION DESIGN","Jordan,Phil","47","52",""," 3.411"," 3.268","87.5","70.2","14.9","10.6","0.0","7","15","11","7","2","4","1","0","2","3","0","0","0","2","1","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","301","35377","PRESENTATIONS FOR IT PROFNLS","Muehlhaus,Kate","40","43",""," 3.545"," 3.191","87.5","85.0","2.5","5.0","0.0","6","25","6","3","0","0","1","1","0","1","0","0","0","3","0","3","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","304","10716","INTRODUCTION VIRTUAL REALITY","Wood,Brian William","22","27",""," 3.773"," 3.543","69.6","90.9","4.5","0.0","0.0","6","16","4","0","0","1","0","0","0","0","0","0","0","1","1","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","308","2121","INFORMATION REPRESENTATION","Pierz,Daniel Matthew","20","25",""," 3.550"," 3.330","68.2","70.0","25.0","0.0","0.0","6","0","14","0","0","5","0","0","0","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","308","5984","INFORMATION REPRESENTATION","Groth,Dennis Patrick","49","49",""," 3.427"," 3.173","91.8","63.3","20.4","16.3","0.0","0","0","22","9","6","2","2","1","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","308","6912","INFORMATION REPRESENTATION","Pierz,Daniel Matthew","19","23",""," 3.105"," 3.129","78.9","57.9","5.3","31.6","0.0","5","0","11","0","0","1","0","0","6","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","308","7291","INFORMATION REPRESENTATION","Muehlhaus,Kate","49","50",""," 3.827"," 3.331","96","85.7","10.2","2.0","2.0","1","28","14","0","4","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","310","3356","MULTIMEDIA ARTS AND TECHNOLOGY","El-Shamy,Jenny H.","37","41",""," 3.573"," 3.109","100","75.7","13.5","8.1","2.7","4","0","22","6","2","2","1","0","3","0","0","0","1","0","1","3","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","311","9015","APPLICATION DEVELOPMENT","Duncan,J","18","22",""," 3.150"," 3.271","80","55.6","22.2","11.1","5.6","5","5","3","2","1","2","1","1","1","0","0","1","0","1","1","2","1","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","341","10028","PROTOTYPING WITH ARDUINO TOOLS","Francisco,Matthew","22","26",""," 3.764"," 3.121","83.3","86.4","9.1","4.5","0.0","4","9","7","3","1","0","1","0","0","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","341","10029","PROTOTYPING WITH ARDUINO TOOLS","Francisco,Matthew","23","29",""," 3.974"," 3.386","67.9","100.0","0.0","0.0","0.0","6","12","9","2","0","0","0","0","0","0","0","0","0","0","4","1","1","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","345","37864","INTERACTION DESIGN RESEARCH","Jordan,Phil","5","6","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","360","8435","WEB DESIGN","Lee,Erika Biga","46","49",""," 3.498"," 3.451","70.8","65.2","23.9","10.9","0.0","3","8","12","10","4","5","2","3","0","2","0","0","0","0","1","1","1","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","360","8862","WEB DESIGN","Lee,Erika Biga","43","51",""," 3.616"," 3.475","90.9","72.1","25.6","0.0","0.0","9","7","18","6","3","6","2","0","0","0","0","0","0","1","1","7","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","363","12189","VISUAL DESIGN FOR THE WEB","El-Shamy,Jenny H.","32","36",""," 3.709"," 3.522","68.8","84.4","9.4","3.1","0.0","5","0","26","1","0","3","0","0","1","0","0","0","0","1","0","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","365","12190","JAVASCRIPT","Lee,Erika Biga","34","37",""," 3.732"," 3.500","77.8","82.4","14.7","2.9","0.0","3","6","16","6","1","1","3","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","368","7366","INTRO TO NETWORK SCIENCE","Menczer,Filippo","34","49",""," 2.485"," 3.237","57.1","17.6","29.4","41.2","2.9","18","2","3","1","6","2","2","7","3","4","0","0","1","3","8","7","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","369","11896","PERFORMANCE ANALYTICS","An,Jisun","21","27",""," 3.519"," 3.405","78.3","76.2","19.0","0.0","0.0","7","3","4","9","2","2","0","0","0","0","0","0","0","1","2","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","370","9017","METHODS FOR HCC","Amon,Mary Jean","48","51",""," 3.596"," 3.233","85.4","77.1","12.5","6.3","0.0","5","32","4","1","2","2","2","3","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","389","11130","SERVE IT INTERNSHP INFORMATICS","Thacker,Una","22","27",""," 3.936"," 3.768","87.5","90.9","9.1","0.0","0.0","5","14","6","0","2","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","390","15074","UNDERGRADUATE INDPT STUDY","Groth,Dennis Patrick","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","390","7527","UNDERGRADUATE INDPT STUDY","Iruoje,Tiana","3","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","391","3334","PROFESSIONAL INTERNSHIP","Paul,LJ","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","8W2","Eight Week - Second","INFO","INFO-I","399","10023","CURRENT TOPICS IN INFORMATICS","Pierz,Daniel Matthew","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","399","13205","CURRENT TOPICS IN INFORMATICS","Kavousian,Shabnam","19","27",""," 3.568"," 3.576","68.2","78.9","15.8","0.0","0.0","9","7","4","4","1","1","1","0","0","0","0","0","0","1","3","5","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","8W1","Eight Week - First","INFO","INFO-I","399","8863","CURRENT TOPICS IN INFORMATICS","Pierz,Daniel Matthew","23","26",""," 3.883"," 3.110","75","87.0","13.0","0.0","0.0","3","3","15","2","3","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","8W2","Eight Week - Second","INFO","INFO-I","399","9179","CURRENT TOPICS IN INFORMATICS","Gonin,Madeleine","60","66",""," 3.875"," 3.705","6.5","95.0","3.3","0.0","0.0","7","46","7","4","0","1","1","0","0","0","0","0","0","1","2","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","400","11083","TOPICS IN INFORMATICS","McCoy,Chase","18","20",""," 3.683"," 3.508","42.1","77.8","11.1","11.1","0.0","2","9","4","1","0","2","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","400","11429","TOPICS IN INFORMATICS","Blevis,Shunying An","32","34",""," 3.147"," 3.089","97","56.3","21.9","12.5","9.4","2","1","9","8","0","4","3","2","1","1","0","2","1","0","1","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","400","11431","TOPICS IN INFORMATICS","Reed-Buechlein,Kayce","12","13",""," 3.592"," 3.609","75","75.0","16.7","8.3","0.0","1","0","4","5","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","400","12628","TOPICS IN INFORMATICS","Wild,David John","14","22",""," 3.907"," 3.245","68.8","92.9","7.1","0.0","0.0","8","4","7","2","1","0","0","0","0","0","0","0","0","0","2","6","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","400","9120","TOPICS IN INFORMATICS","Ensmenger,Nathan","19","22",""," 3.511"," 3.230","100","63.2","26.3","10.5","0.0","3","0","7","5","2","3","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","400","9584","TOPICS IN INFORMATICS","Maidi,Chabane","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","403","12285","MOBILE HUMAN COMPUTR INT & DES","Clawson,James","27","32",""," 3.589"," 3.470","96.4","74.1","18.5","7.4","0.0","5","7","8","5","1","1","3","0","2","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","411","10735","ACI METHODS","Martin,Christopher Flynn","11","14",""," 3.045"," 3.198","50","72.7","9.1","0.0","0.0","5","0","2","6","1","0","0","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","414","10743","SEMINAR ON TECH FOR ANIMALS","Nippert-Eng,Christena","6","10",""," 3.450"," 3.322","50","66.7","16.7","16.7","0.0","4","1","2","1","0","1","0","0","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","422","32547","DATA VISUALIZATION","Ahn,Yong Yeol","29","46",""," 2.814"," 3.279","25.6","27.6","51.7","10.3","3.4","19","1","3","4","3","2","10","2","1","0","1","0","0","2","7","7","3","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","430","7463","SECURITY FOR NETWORKED SYSTEMS","Zhang,Hang","57","58",""," 3.447"," 3.263","50.9","52.6","40.4","5.3","0.0","2","4","14","12","16","7","0","1","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","440","10030","HUMAN ROBOT INTERACTION","Sabanovic,Selma","18","25",""," 3.450"," 3.342","85.7","72.2","16.7","5.6","0.0","8","1","8","4","1","2","0","0","1","0","0","0","0","1","3","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","441","33833","INTERACTION DESIGN PRACTICE","Siegel,Martin A","19","19",""," 4.000"," 3.613","63.2","100.0","0.0","0.0","0.0","0","5","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","442","12505","CREATING VIRTUAL ASSETS","Wood,Brian William","6","6",""," 3.900"," 3.669","50","100.0","0.0","0.0","0.0","0","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","453","4619","COMPUTER & INFORMATION ETHICS","Paolillo,John C.","48","50",""," 3.377"," 3.159","81.3","72.9","14.6","4.2","2.1","5","12","13","10","1","3","3","0","1","1","0","1","0","3","0","2","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","453","6843","COMPUTER & INFORMATION ETHICS","Wu,Yuxing","44","53",""," 3.018"," 3.072","76.1","52.3","22.7","13.6","0.0","14","1","16","6","3","2","5","4","2","0","0","0","0","5","2","7","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","453","7292","COMPUTER & INFORMATION ETHICS","Francisco,Matthew","48","54",""," 3.660"," 3.389","82","75.0","18.8","4.2","2.1","6","7","22","7","6","3","0","1","1","0","0","0","1","0","2","4","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","457","30691","IMMERSVE STORYTLLNG & EXP DSGN","Terrell,Jennifer Anne","6","17",""," 3.717"," 3.463","70.6","66.7","33.3","0.0","0.0","11","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","13W","Thirteen Week","INFO","INFO-I","487","10441","INTRO TO VIRTUAL HERITAGE","Guidi,Gabriele","7","7",""," 3.300"," 3.278","85.7","71.4","14.3","0.0","14.3","0","0","3","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","489","11131","SERVE IT CAPSTONE INTERNSHIP","Thacker,Una","37","39",""," 3.976"," 3.715","73.7","100.0","0.0","0.0","0.0","2","24","10","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","490","4455","PROFESSIONAL INTERNSHIP","Paul,LJ","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","490","4620","PROFESSIONAL INTERNSHIP","Paul,LJ","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","491","3335","CAPSTONE PROJECT INTERNSHIP","Paul,LJ","1","7","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
"FA24","4248","1","Regular Academic Session","INFO","INFO-I","491","4621","CAPSTONE PROJECT INTERNSHIP","Paul,LJ","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-24-2025"
